from,to,action,p(s'a|s)
98,1947,2,0.01818181818181818
98,6071,3,0.01818181818181818
98,2730,1,0.01818181818181818
99,3387,3,0.3333333333333333
99,3030,1,0.2222222222222222
99,5636,0,0.1111111111111111
99,99,2,0.2222222222222222
99,1408,5,0.1111111111111111
100,1292,1,0.09375
100,3275,5,0.125
100,100,4,0.2604166666666667
100,100,0,0.13541666666666666
100,4036,1,0.041666666666666664
100,571,3,0.11458333333333333
100,529,3,0.010416666666666666
100,129,2,0.125
100,6576,5,0.010416666666666666
100,486,1,0.041666666666666664
100,3244,0,0.010416666666666666
100,3244,4,0.010416666666666666
100,534,3,0.010416666666666666
100,2322,2,0.010416666666666666
101,4959,3,1.0
102,102,4,0.14566929133858267
102,102,0,0.2125984251968504
102,102,5,0.07874015748031496
102,102,3,0.1889763779527559
102,2342,2,0.1062992125984252
102,1729,1,0.16141732283464566
102,6270,5,0.07480314960629922
102,1256,2,0.003937007874015748
102,1960,2,0.011811023622047244
102,148,2,0.003937007874015748
102,5317,4,0.003937007874015748
102,6169,2,0.007874015748031496
103,2272,0,0.1111111111111111
103,103,4,0.1111111111111111
103,103,0,0.07407407407407407
103,3275,5,0.07407407407407407
103,100,0,0.037037037037037035
103,100,4,0.07407407407407407
103,864,3,0.07407407407407407
103,4351,1,0.1111111111111111
103,1292,1,0.037037037037037035
103,36,2,0.037037037037037035
103,1403,5,0.037037037037037035
103,5686,1,0.037037037037037035
103,1655,2,0.1111111111111111
103,129,2,0.037037037037037035
103,239,3,0.037037037037037035
104,6126,2,1.0
105,4017,0,1.0
106,4905,3,0.0423728813559322
106,106,4,0.16101694915254236
106,106,5,0.1440677966101695
106,106,1,0.15254237288135594
106,674,1,0.03389830508474576
106,674,4,0.025423728813559324
106,674,5,0.0423728813559322
106,2405,3,0.03389830508474576
106,4138,0,0.0847457627118644
106,4704,2,0.0423728813559322
106,4467,2,0.15254237288135594
106,4467,3,0.0423728813559322
106,2823,0,0.0423728813559322
107,107,5,0.2
107,107,4,0.2
107,3265,3,0.4
107,1185,2,0.2
108,108,5,0.5
108,3514,5,0.5
109,2012,3,0.16666666666666666
109,109,4,0.20833333333333334
109,109,5,0.125
109,109,3,0.041666666666666664
109,1463,0,0.2916666666666667
109,898,2,0.08333333333333333
109,2563,1,0.08333333333333333
110,6118,0,0.4
110,4447,1,0.1
110,6625,5,0.2
110,110,4,0.2
110,3154,2,0.1
111,4858,0,0.1
111,2561,2,0.1
111,1622,3,0.1
111,6304,0,0.1
111,156,1,0.2
111,6066,2,0.1
111,4198,2,0.1
111,2249,5,0.1
111,4321,2,0.1
112,112,5,0.08461538461538462
112,112,4,0.09230769230769231
112,112,0,0.07692307692307693
112,937,1,0.09230769230769231
112,2807,2,0.16153846153846155
112,442,3,0.06923076923076923
112,6337,4,0.05384615384615385
112,6337,5,0.05384615384615385
112,6337,0,0.046153846153846156
112,3453,3,0.07692307692307693
112,6419,1,0.09230769230769231
112,2499,3,0.015384615384615385
112,3102,2,0.015384615384615385
112,1218,2,0.023076923076923078
112,5735,1,0.007692307692307693
112,710,1,0.015384615384615385
112,3721,3,0.023076923076923078
113,5280,1,0.26666666666666666
113,2005,0,0.06666666666666667
113,113,4,0.06666666666666667
113,113,5,0.13333333333333333
113,113,2,0.06666666666666667
113,2064,0,0.06666666666666667
113,3936,0,0.06666666666666667
113,4038,0,0.2
113,6031,5,0.06666666666666667
114,3450,5,1.0
115,115,4,0.2
115,115,2,0.2
115,2685,4,0.4
115,795,3,0.2
116,3669,1,1.0
117,117,4,0.08653846153846154
117,117,5,0.057692307692307696
117,117,0,0.057692307692307696
117,1835,2,0.1346153846153846
117,2486,3,0.028846153846153848
117,3076,5,0.10576923076923077
117,3076,4,0.057692307692307696
117,4238,0,0.0673076923076923
117,5219,1,0.07692307692307693
117,68,0,0.019230769230769232
117,5238,3,0.057692307692307696
117,2340,2,0.038461538461538464
117,1398,4,0.019230769230769232
117,4524,2,0.019230769230769232
117,3345,1,0.11538461538461539
117,5935,3,0.009615384615384616
117,2946,3,0.019230769230769232
117,4715,3,0.009615384615384616
117,2759,0,0.009615384615384616
117,5709,2,0.009615384615384616
118,118,4,0.5
118,6183,2,0.5
119,2707,1,0.16666666666666666
119,119,3,0.16666666666666666
119,2414,2,0.16666666666666666
119,3087,0,0.16666666666666666
119,2553,2,0.16666666666666666
119,1863,0,0.16666666666666666
120,343,4,0.0072992700729927005
120,343,0,0.0072992700729927005
120,752,2,0.2116788321167883
120,6492,2,0.0072992700729927005
120,2342,1,0.1678832116788321
120,148,3,0.13138686131386862
120,120,0,0.11678832116788321
120,120,4,0.17518248175182483
120,6059,5,0.10948905109489052
120,4656,1,0.014598540145985401
120,1644,5,0.014598540145985401
120,954,1,0.014598540145985401
120,3081,2,0.0072992700729927005
120,1960,1,0.0072992700729927005
120,4752,3,0.0072992700729927005
121,5688,3,0.1111111111111111
121,2245,0,0.1111111111111111
121,1548,1,0.1111111111111111
121,121,3,0.2222222222222222
121,121,4,0.1111111111111111
121,407,5,0.1111111111111111
121,4362,1,0.1111111111111111
121,2882,1,0.1111111111111111
122,3812,2,1.0
123,123,5,0.5
123,4815,5,0.5
124,4037,1,1.0
125,125,3,0.1
125,125,4,0.25
125,125,0,0.05
125,4340,1,0.2
125,250,2,0.3
125,3382,2,0.05
125,1744,5,0.05
126,126,4,0.23529411764705882
126,126,2,0.09803921568627451
126,126,0,0.11764705882352941
126,126,5,0.1568627450980392
126,5508,1,0.058823529411764705
126,2113,3,0.058823529411764705
126,4478,0,0.0196078431372549
126,4478,4,0.0196078431372549
126,490,0,0.0196078431372549
126,2160,3,0.058823529411764705
126,5144,1,0.11764705882352941
126,283,0,0.0196078431372549
126,5959,0,0.0196078431372549
127,127,1,0.16310160427807488
127,127,4,0.16844919786096257
127,127,5,0.13368983957219252
127,3372,3,0.06684491978609626
127,3801,0,0.13101604278074866
127,4737,2,0.17914438502673796
127,2711,3,0.06684491978609626
127,6618,0,0.0053475935828877
127,3946,3,0.00267379679144385
127,3187,4,0.0053475935828877
127,3187,1,0.0053475935828877
127,1594,4,0.0106951871657754
127,1594,5,0.0106951871657754
127,1594,1,0.0053475935828877
127,1153,3,0.00267379679144385
127,2390,2,0.0106951871657754
127,1838,0,0.00267379679144385
127,4396,0,0.0053475935828877
127,4006,0,0.008021390374331552
127,412,2,0.00267379679144385
127,4593,3,0.00267379679144385
127,1281,3,0.00267379679144385
127,687,3,0.00267379679144385
127,5909,3,0.00267379679144385
127,1578,3,0.00267379679144385
128,2080,2,0.125
128,4945,4,0.125
128,4945,1,0.125
128,128,4,0.125
128,128,1,0.125
128,128,5,0.125
128,6505,2,0.0625
128,2559,3,0.0625
128,1882,3,0.0625
128,1473,0,0.0625
129,129,4,0.13636363636363635
129,129,2,0.09090909090909091
129,129,5,0.045454545454545456
129,571,3,0.3181818181818182
129,4036,1,0.045454545454545456
129,100,0,0.22727272727272727
129,1292,1,0.13636363636363635
130,1801,3,0.3333333333333333
130,6020,1,0.3333333333333333
